[2025-02-24 20:38:29,932: INFO: main: Logging is implemented]
[2025-02-25 11:30:17,489: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-25 11:30:17,493: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-25 11:30:17,493: INFO: common: created directory at: artifacts]
[2025-02-25 11:30:17,495: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-25 11:30:48,265: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-25 11:30:48,266: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-25 11:30:48,267: INFO: common: created directory at: artifacts]
[2025-02-25 11:30:48,276: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-25 11:31:09,587: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-25 11:31:09,589: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-25 11:31:09,590: INFO: common: created directory at: artifacts]
[2025-02-25 11:31:09,591: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-25 11:35:52,348: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-25 11:35:52,349: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-25 11:35:52,350: INFO: common: created directory at: artifacts]
[2025-02-25 11:35:52,351: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-25 11:37:24,938: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-25 11:37:24,939: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-25 11:37:24,940: INFO: common: created directory at: artifacts]
[2025-02-25 11:37:24,941: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-25 11:40:25,932: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-25 11:40:25,934: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-25 11:40:25,934: INFO: common: created directory at: artifacts]
[2025-02-25 11:40:25,935: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-25 11:40:30,134: INFO: 2552113511: File is downloaded]
[2025-02-25 12:01:56,944: INFO: main: stage Data Ingestion stage initiated]
[2025-02-25 12:01:56,944: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-25 12:01:56,950: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-25 12:01:56,950: INFO: common: created directory at: artifacts]
[2025-02-25 12:01:56,951: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-25 12:02:00,627: INFO: data_ingestion: File is downloaded]
[2025-02-25 12:02:00,758: INFO: main: stage Data Ingestion stage completed]
[2025-02-25 12:48:08,337: INFO: config: PyTorch version 2.6.0 available.]
[2025-02-25 13:02:09,925: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-25 13:02:09,927: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-25 13:02:09,928: INFO: common: created directory at: artifacts]
[2025-02-25 13:02:09,929: INFO: common: created directory at: artifacts/data_transformation]
[2025-02-25 13:21:35,637: INFO: config: PyTorch version 2.6.0 available.]
[2025-02-25 13:21:35,869: INFO: main: stage Data Ingestion stage initiated]
[2025-02-25 13:21:35,869: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-25 13:21:35,869: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-25 13:21:35,869: INFO: common: created directory at: artifacts]
[2025-02-25 13:21:35,869: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-25 13:21:40,512: INFO: data_ingestion: File is downloaded]
[2025-02-25 13:21:40,644: INFO: main: stage Data Ingestion stage completed]
[2025-02-25 13:21:40,644: INFO: main: stage Data Transformation stage initiated]
[2025-02-25 13:21:40,644: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-25 13:21:40,647: INFO: common: yaml file: params.yaml loaded successfully]
